rating,image,name
,//dimg10.c-ctrip.com/images/200q0j000000alz7m6C52_R_130_130.jpg,Stay in Taipei
4.2,//dimg10.c-ctrip.com/images/hotel/926000/925104/33a769d649e044c79ac82c5a6d307e43_R_130_130.jpg,Lihao Hotel
4.3,//dimg12.c-ctrip.com/images/200q0h0000008ym7xE8E8_R_130_130.jpg,Green World Sansui
4.6,//dimg11.c-ctrip.com/images/t1/hotel/927000/926042/faae9ac782ba43e9bd2062a9028b98b7_R_130_130.jpg,原台北大地北投奇岩温泉
3.3,//dimg11.c-ctrip.com/images/fd/hotel/g5/M04/5A/7C/CggYsVcHCsOAOmfJAAJYe-HguU8903_R_130_130.jpg,101 Wonderland
,//dimg12.c-ctrip.com/images/fd/hotel/g2/M02/C3/D4/Cghzf1VoHI2AC9iAAAFaI7R2U8Y443_R_130_130.jpg,Maos Place
4.2,//dimg11.c-ctrip.com/images/200e050000000cmydE6D7_R_130_130.jpg,Dandy Hotel - Tianjin Branch
4.3,//dimg12.c-ctrip.com/images/fd/hotel/g3/M0B/23/F6/CggYGlbNTQmAV_JiAAWUXTQLEqU468_R_130_130.jpg,台北长安馆
4.6,//dimg13.c-ctrip.com/images/fd/hotel/g4/M0A/6C/F2/CggYHFY6rQeAIOWeAAHafbQnax8846_R_130_130.jpg,Le Maison Hotel
4.5,//dimg11.c-ctrip.com/images/hotel/78000/77932/D00B33EC-A3F0-4357-B1C0-510574E430B0_R_130_130.jpg,台北林森馆
4.6,//dimg11.c-ctrip.com/images/2001050000000d66uE429_R_130_130.jpg,Reachi9  Taipei Main Station HaoMei service Apartments
4.3,//dimg12.c-ctrip.com/images/t1/hotel/1213000/1212355/435cced42c97413a9b29e2f99f156205_R_130_130.jpg,Hotel Prima Casa
4.8,//dimg11.c-ctrip.com/images/t1/hotel/988000/987536/4a847d1a881d4c65a6ab6da59a5c3742_R_130_130.jpg,If Inn
4.6,//dimg13.c-ctrip.com/images/fd/hotel/g3/M00/5F/DA/CggYGlXMAdiAPii7AAHUvA5C6Bk221_R_130_130.jpg,Taipei Good Place
